Наруто Узумаки; Узумаки; Деревня Скрытого Листа, Гора Мьёбоку, Союзные Силы Шиноби, Джинчуурики; Хокаге
Саске Учиха; Учиха; Деревня Скрытого Листа, Деревня Скрытого Звука, Пещера Рьючи, Акацуки; Глава Клана Учиха
Какаши Хатаке; Хатаке; Деревня Скрытого Листа, Союзные Силы Шиноби; Хокаге, Командир Третьей Дивизии Союзных Войск Шиноби
Минато Намиказе; Намиказе; Деревня Скрытого Листа, Гора Мьёбоку, Союзные Силы Шиноби, Джинчуурики; Хокаге
Итачи Учиха; Учиха; Деревня Скрытого Листа, Акацуки; Анбу
Обито Учиха; Учиха; Деревня Скрытого Листа, Деревня Скрытого Тумана, Акацуки, Джинчуурики; Лидер Акацуки, Тайный лидер Киригакуре
Хината Хьюга; Хьюга, Узумаки; Деревня Скрытого Листа, Союзные Силы Шиноби; Наследница Клана Хьюга
Темари; Казекаге, Нара; Деревня Скрытого Песка, Деревня Скрытого Листа, Союзные Силы Шиноби ; Телохранитель Казекаге
Цунаде Сенджу; Сенджу, Узумаки; Деревня Скрытого Листа, Лес Шиккоцу, Союзные Силы Шиноби; Хокаге, Ниндзя-медик
Сакура Харуно; Харуно, Учиха; Деревня Скрытого Листа, Лес Шиккоцу, Союзные Силы Шиноби; Ниндзя-медик, Доктор, Директор Детско Психиатрической Клиники Листа
Канкуро; Казекаге; Деревня Скрытого Песка, Союзные Силы Шиноби; Телохранитель Казекаге, Капитан Подразделения Внезапного Нападения Союзных Войск Шиноби
Тобирама Сенджу; Сенджу; Деревня Скрытого Листа, Союзные Силы Шиноби; Хокаге
Хаширама Сенджу; Сенджу; Деревня Скрытого Листа, Союзные Силы Шиноби; Хокаге, Глава Клана Сенджу, Сооснователь Деревни Скрытого Листа
Мито Узумаки; Сенджу, Узумаки; Деревня Скрытых Водоворотов, Деревня Скрытого Листа, Джинчуурики; Шиноби
Гаара; Казекаге; Деревня Скрытого Песка, Союзные Силы Шиноби, Джинчуурики; Казекаге, Полковой Командир Союзных Войск Шиноби, Командир Четвёртого Подразделения
Карин; Узумаки; Деревня Скрытой Травы, Деревня Скрытого Звука, Акацуки; Ниндзя-медик
Нагато; Узумаки; Деревня Скрытого Дождя, Акацуки; ;
Кушина Узумаки; Узумаки; Деревня Скрытого Листа, Деревня Скрытых Водоворотов, Джинчуурики; Шиноби
Шикамару Нара; Нара; Деревня Скрытого Листа, Союзные Силы Шиноби; Помощник Хокаге, Специалист по планированию для Союза Шиноби, Косвенный Командир Четвёртой Дивизии Союзных Войск Шиноби, Проктор Экзаменов на Чуунина, Глава Клана Нара
Шикаку Нара; Нара; Деревня Скрытого Листа, Союзные Силы Шиноби; Шиноби
Хирузен Сарутоби; Сарутоби; Деревня Скрытого Листа, Союзные Силы Шиноби; Хокаге
Конохамару Сарутоби; Сарутоби; Деревня Скрытого Листа, Гора Мьёбоку; Учитель Академии
